from_Indicator,Relation,to_chemicals,CAS
2-naphthylamine and its salts,INCLUDE,2-naphthylamine,91-59-8
2-naphthylamine and its salts,INCLUDE,2-naphthylammonium chloride,612-52-2
Benzidine and its salts,INCLUDE,Salts of benzidine,-
Benzidine and its salts,INCLUDE,Benzidine,92-87-5
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[(1-amino-4-sulphonato-2-naphthyl)azo][1,1'-biphenyl]-4-yl]azo]salicylate",2429-79-0
Benzidine and its salts,INCLUDE,"Tetrasodium 5-[[4'-[[2,6-diamino-3-[[8-hydroxy-3,6-disulphonato-7-[(4-sulphonato-1-naphthyl)azo]-2-naphthyl]azo]-5-tolyl]azo][1,1'-biphenyl]-4-yl]azo]salicylate",2429-81-4
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo][1,1'-biphenyl]-4-yl]azo]salicylate",2429-82-5
Benzidine and its salts,INCLUDE,"Disodium 4-amino-3-[[4'-[(2,4-diamino-5-methylphenyl)azo][1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate",2429-83-6
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[(2-amino-8-hydroxy-6-sulphonato-1-naphthyl)azo][1,1'-biphenyl]-4-yl]azo]salicylate",2429-84-7
Benzidine and its salts,INCLUDE,"Tetrasodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]",2602-46-2
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[[2,4-dihydroxy-3-[(4-sulphonatophenyl)azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]salicylate",2893-80-3
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[[1-hydroxy-7-(phenylamino)-3-sulphonato-2-naphthyl]azo][1,1'-biphenyl]-4-yl]azo]salicylate",3476-90-2
Benzidine and its salts,INCLUDE,"Disodium 8-[[4'-[(4-ethoxyphenyl)azo][1,1'-biphenyl]-4-yl]azo]-7-hydroxynaphthalene-1,3-disulphonate",3530-19-6
Benzidine and its salts,INCLUDE,"Disodium 7-hydroxy-8-[[4'-[[4-[[(p-tolyl)sulphonyl]oxy]phenyl]azo][1,1'-biphenyl]-4-yl]azo]naphthalene-1,3-disulphonate",3567-65-5
Benzidine and its salts,INCLUDE,"Disodium 4-amino-5-hydroxy-3-[[4'-[(4-hydroxyphenyl)azo][1,1'-biphenyl]-4-yl]azo]-6-(phenylazo)naphthalene-2,7-disulphonate",3626-28-6
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[[4,5-dihydro-3-methyl-5-oxo-1-(4-sulphonatophenyl)-1H-pyrazol-4-yl]azo][1,1'-biphenyl]-4-yl]azo]salicylate",13164-93-7
Benzidine and its salts,INCLUDE,"Disodium [5-[[4'-[[2,6-dihydroxy-3-[(2-hydroxy-5-sulphophenyl)azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]salicylato(4-)]cuprate(2-)",16071-86-6
Benzidine and its salts,INCLUDE,Benzidine sulphate,21136-70-9
Benzidine and its salts,INCLUDE,"[2,2'-dichloro[1,1'-biphenyl]-4,4'-diyl]diammonium sulphate",70146-07-5
Benzidine and its salts,INCLUDE,"Dipotassium O,O'-(4,4'-diaminobiphenyl-3,3'-ylene)diglycollate",74220-10-3
Benzidine and its salts,INCLUDE,Benzidine dihydrochloride,531-85-1
Benzidine and its salts,INCLUDE,"[[1,1'-biphenyl]-4,4'-diyl]diammonium sulphate",531-86-2
Benzidine and its salts,INCLUDE,"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate)",573-58-0
Benzidine and its salts,INCLUDE,"4,4'-bi-o-toluidine dihydrochloride",612-82-8
Benzidine and its salts,INCLUDE,"3,3'-dichlorobenzidine dihydrochloride",612-83-9
Benzidine and its salts,INCLUDE,"Tetrasodium 3,3'-[(3,3'-dimethyl[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]",72-57-1
Benzidine and its salts,INCLUDE,"3,3'-dichlorobenzidine",91-94-1
Benzidine and its salts,INCLUDE,"3,3'-dimethoxybenzidine",119-90-4
Benzidine and its salts,INCLUDE,"4,4'-bi-o-toluidine",119-93-7
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[[2,4-diamino-5-[(4-sulphophenyl)azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]salicylate",3811-71-0
Benzidine and its salts,INCLUDE,"Disodium 4-amino-5-hydroxy-6-[[4'-[(4-hydroxyphenyl)azo][1,1'-biphenyl]-4-yl]azo]-3-[(4-nitrophenyl)azo]naphthalene-2,7-disulphonate",4335/9/5
Benzidine and its salts,INCLUDE,"Trisodium 5-[[4'-[[8-amino-1-hydroxy-7-[(p-nitrophenyl)azo]-3,6-disulphonato-2-naphthyl]azo]-4-biphenyl]azo]salicylate",5422-17-3
Benzidine and its salts,INCLUDE,"Disodium 5-[[4'-[[2,6-diamino-3-methyl-5-[(4-sulphonatophenyl)azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]-3-methylsalicylate",6360-54-9
Benzidine and its salts,INCLUDE,"2,[?]-Naphthalenedisulfonic acid, 4-[[][[]4-[[](4-amino-1-naphthalenyl)azo]-1-naphthalenyl]azo]-, disodium salt",8004-59-9
Benzidine and its salts,INCLUDE,"Benzidine, hydrochloride",14414-68-7
Benzidine and its salts,INCLUDE,"Disodium 4,4'-diaminobiphenyl-2,2'-disulfonate",27336-24-9
Benzidine and its salts,INCLUDE,"1,1'-Biphenyl-4,4'-diamine, monoperchlorate",29806-76-6
Benzidine and its salts,INCLUDE,"[1,1'-Biphenyl]-4,4'-diamine, perchlorate",38668-12-1
Benzidine and its salts,INCLUDE,Benzidine diperchlorate,41195-21-5
Benzidine and its salts,INCLUDE,"(1,1'-Biphenyl)-4,4'-diamine, dihydrofluoride",41766-73-8
Benzidine and its salts,INCLUDE,"(1,1'-Biphenyl)-4,4'-diamine, monoacetate",52754-64-0
Benzidine and its salts,INCLUDE,"(1,1'-Biphenyl)-ar,ar',4,4'-tetramine",66836-18-8
Benzidine and its salts,INCLUDE,"benzidine, phosphate (1:1)",66907-22-0
Benzidine and its salts,INCLUDE,"Nickel(2+), ((1,1'-biphenyl)-4,4'-diamine-N)-",67632-50-2
Benzidine and its salts,INCLUDE,"(1,1'-Biphenyl)-4,4'-diamine, dihydriodide",75534-79-1
Benzidine and its salts,INCLUDE,"(1,1'-Biphenyl)-4,4'-diamine, monohydrochloride",75752-15-7
Benzidine and its salts,INCLUDE,"benzidine, mono(2-hydroxy-3,5-dinitrobenzoate)",78577-03-4
Benzidine and its salts,INCLUDE,"benzidine, mono(3,5-dinitrobenzoate)",78577-08-9
Benzidine and its salts,INCLUDE,"benzidine, bis(2-hydroxy-3,5-dinitrobenzoate)",92415-34-4
Benzidine and its salts,INCLUDE,"benzidine, bis(3,5-dinitrobenzoate)",92415-52-6
Benzidine and its salts,INCLUDE,Benzidine acetate,36341-27-2
Benzidine and its salts,INCLUDE,"1,3,6-Naphthalenetrisulfonic acid, 8-hydroxy-7-((4'-((2-hydroxy-1-naphthalenyl)azo)-(1,1'-biph",6426-67-1
Benzidine and its salts,INCLUDE,"Hexasodium 5,5'-[(3,7-disulphonato-1,5-naphthylene)bis[azo(6-hydroxy-3,1-phenylene)azo[6(or 7)-sulphonato-4,1-naphthylene]azo[1,1'-biphenyl]-4,4'-diylazo]]bis(salicylate)",8014-91-3
Benzidine and its salts,INCLUDE,"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate",1937-37-7
4-Aminobiphenyl xenylamine and its salts,INCLUDE,4-Aminobiphenyl xenylamine,92-67-1
Lead carbonates,INCLUDE,Neutral anhydrous carbonate (PbCO3 ),598-63-0
Lead carbonates,INCLUDE,Trilead-bis(carbonate)-dihydroxide 2PbCO3-Pb(OH)2,1319-46-6
Lead sulphates,INCLUDE,Lead sulphate PbSO4,7446-14-2
Lead sulphates,INCLUDE,"Sulphuric acid, lead salt Pbx SO4",15739-80-7
Mercury compounds,INCLUDE,Mercury,7439-97-6
Arsenic compounds,INCLUDE,Vanadium(4+) diarsenate (1:1),99035-51-5
Arsenic compounds,INCLUDE,"Strychnidin-10-one, arsenite (1:1)",100258-44-4
Arsenic compounds,INCLUDE,"Slimes and Sludges, copper electrolytic refining, decopperized, arsenic-rich",100995-81-1
Arsenic compounds,INCLUDE,"Arsenic acid (H3AsO4), magnesium salt, manganese-doped",102110-21-4
Arsenic compounds,INCLUDE,"Slimes and Sludges, copper-lead ore roasting off gas scrubbing, arsenic-contg.",102110-62-3
Arsenic compounds,INCLUDE,Sodium hexafluoroarsenate(V),12005-86-6
Arsenic compounds,INCLUDE,Sodium arsenate dibasic heptahydrate,10048-95-0
Arsenic compounds,INCLUDE,Sodium cacodylate trihydrate,6131-99-3
Arsenic compounds,INCLUDE,Thallium triarsenide,84057-85-2
Arsenic compounds,INCLUDE,3-methyl-4-(pyrrolidin-1-yl)benzenediazonium hexafluoroarsenate,27569-09-1
Arsenic compounds,INCLUDE,Antimony arsenate,28980-47-4
Arsenic compounds,INCLUDE,"Arsenic acid, copper(2+) salt",29871-13-4
Arsenic compounds,INCLUDE,Lithium hexafluoroarsenate,29935-35-1
Arsenic compounds,INCLUDE,Ammonium copper arsenate,32680-29-8
Arsenic compounds,INCLUDE,Europium arsenide,32775-46-5
Arsenic compounds,INCLUDE,Tristrontium diarsenide,39297-24-0
Arsenic compounds,INCLUDE,Tribarium diarsenate,13477-04-8
Arsenic compounds,INCLUDE,Trinickel bis(arsenate),13477-70-8
Arsenic compounds,INCLUDE,Trilithium arsenate,13478-14-3
Arsenic compounds,INCLUDE,Trisilver arsenate,13510-44-6
Arsenic compounds,INCLUDE,Sodium metaarsenate,15120-17-9
Arsenic compounds,INCLUDE,Copper diarsenite,16509-22-1
Arsenic compounds,INCLUDE,Potassium hexafluoroarsenate,17029-22-0
Arsenic compounds,INCLUDE,Hydrogen hexafluoroarsenate,17068-85-8
Arsenic compounds,INCLUDE,"N-(p-arsenosophenyl)-1,3,5-triazine-2,4,6-triamine",21840-08-4
Arsenic compounds,INCLUDE,Triphenylsulphonium hexafluoroarsenate(1-),57900-42-2
Arsenic compounds,INCLUDE,Zirconium arsenide,60909-47-9
Arsenic compounds,INCLUDE,Trimanganese arsenide,61219-26-9
Arsenic compounds,INCLUDE,"Disodium 3,6-bis[(o-arsonophenyl)azo]-4,5-dihydroxynaphthalene-2,7-disulphonate",62337-00-2
Arsenic compounds,INCLUDE,Diphenyliodonium hexafluoroarsenate,62613-15-4
Arsenic compounds,INCLUDE,4-(ethylamino)-2-methylbenzenediazonium hexafluoroarsenate,63217-32-3
Arsenic compounds,INCLUDE,4-(diethylamino)-2-ethoxybenzenediazonium hexafluoroarsenate,63217-33-4
Arsenic compounds,INCLUDE,Antimony arsenic oxide,64475-90-7
Arsenic compounds,INCLUDE,Arsenic bromide,64973-06-4
Arsenic compounds,INCLUDE,Cobalt arsenide,65453-05-6
Arsenic compounds,INCLUDE,"Tris(pentane-2,4-dionato-O,O')silicon hexafluoroarsenate",67251-38-1
Arsenic compounds,INCLUDE,"Slimes and Sludges, copper refining",67712-00-9
Arsenic compounds,INCLUDE,"Silicic acid (H4SiO4), zinc salt (1:2), arsenic and manganese-doped",68611-46-1
Arsenic compounds,INCLUDE,"Bis(pentane-2,4-dionato-O,O')boron(1+) hexafluoroarsenate(1-)",68892-01-3
Arsenic compounds,INCLUDE,"Antimony oxide (Sb2O3), mixed with arsenic oxide (As2O3)",68951-38-2
Arsenic compounds,INCLUDE,"Lead alloy, base, dross",69011-59-2
Arsenic compounds,INCLUDE,"Lead, antimonial, dross",69029-51-2
Arsenic compounds,INCLUDE,"Flue dust, lead-refining",69029-67-0
Arsenic compounds,INCLUDE,Disilver arsenide,70333-07-2
Arsenic compounds,INCLUDE,Oxophenarsine hydrochloride,538-03-4
Arsenic compounds,INCLUDE,"Tris[(8α,9R)-6'-methoxycinchonan-9-ol] bis(arsenate)",549-59-7
Arsenic compounds,INCLUDE,Sulfarsphenamine,618-82-6
Arsenic compounds,INCLUDE,Phenylarsine oxide,637-03-6
Arsenic compounds,INCLUDE,Dimethylarsinic acid,75-60-5
Arsenic compounds,INCLUDE,Roxarsone,121-19-7
Arsenic compounds,INCLUDE,Sodium dimethylarsinate,124-65-2
Arsenic compounds,INCLUDE,"6,6'-dihydroxy-3,3'-diarsene-1,2-diyldianilinium dichloride",139-93-5
Arsenic compounds,INCLUDE,Oxophenarsine,306-12-7
Arsenic compounds,INCLUDE,Tritylium hexafluoroarsenate,437-15-0
Arsenic compounds,INCLUDE,Neoarsphenamine,457-60-3
Arsenic compounds,INCLUDE,"Disodium 4-[(o-arsonophenyl)azo]-3-hydroxynaphthalene-2,7-disulphonate",3688-92-4
Arsenic compounds,INCLUDE,Diphenyldiarsenic acid,4519-32-8
Arsenic compounds,INCLUDE,Arsenic,7440-38-2
Arsenic compounds,INCLUDE,"Arsenic acid, sodium salt",7631-89-2
Arsenic compounds,INCLUDE,Arsenic acid,7778-39-4
Arsenic compounds,INCLUDE,Disodium hydrogenarsenate,7778-43-0
Arsenic compounds,INCLUDE,Calcium arsenate,7778-44-1
Arsenic compounds,INCLUDE,Trisilver arsenite,7784/8/9
Arsenic compounds,INCLUDE,Arsenic tribromide,7784-33-0
Arsenic compounds,INCLUDE,Arsenic trichloride,7784-34-1
Arsenic compounds,INCLUDE,Trifluoroarsine,7784-35-2
Arsenic compounds,INCLUDE,Pentafluoroarsorane,7784-36-3
Arsenic compounds,INCLUDE,Mercury hydrogenarsenate,7784-37-4
Arsenic compounds,INCLUDE,Manganese hydrogenarsenate,7784-38-5
Arsenic compounds,INCLUDE,Lead hydrogen arsenate,7784-40-9
Arsenic compounds,INCLUDE,Potassium dihydrogenarsenate,7784-41-0
Arsenic compounds,INCLUDE,Diammonium hydrogenarsenate,7784-44-3
Arsenic compounds,INCLUDE,Arsenic triiodide,7784-45-4
Arsenic compounds,INCLUDE,Sodium dioxoarsenate,7784-46-5
Arsenic compounds,INCLUDE,Pentahydroxyarsorane,7786-36-9
Arsenic compounds,INCLUDE,"2,6-dimethyl-4-(1-naphthyl)pyrylium hexafluoroarsenate",84282-36-0
Arsenic compounds,INCLUDE,"2,6-dimethyl-4-phenylpyrylium hexafluoroarsenate",84304-15-4
Arsenic compounds,INCLUDE,"4-cyclohexyl-2,6-dimethylpyrylium hexafluoroarsenate",84304-16-5
Arsenic compounds,INCLUDE,Tris[(8α)-6'-methoxycinchonan-9(R)-ol] arsenite,94138-87-1
Arsenic compounds,INCLUDE,Gallium zinc triarsenide,98106-56-0
Arsenic compounds,INCLUDE,"Flue dust, arsenic-contg.",8028-73-7
Arsenic compounds,INCLUDE,Lead arsenite,10031-13-7
Arsenic compounds,INCLUDE,Iron arsenate,10102-49-5
Arsenic compounds,INCLUDE,Iron bis(arsenate),10102-50-8
Arsenic compounds,INCLUDE,"Arsenic acid, magnesium salt",10103-50-1
Arsenic compounds,INCLUDE,"Arsenic acid, copper salt",10103-61-4
Arsenic compounds,INCLUDE,"Arsenic acid, calcium salt",10103-62-5
Arsenic compounds,INCLUDE,Strychnine arsenate,10476-82-1
Arsenic compounds,INCLUDE,Tricopper arsenide,12005-75-3
Arsenic compounds,INCLUDE,Dysprosium arsenide,12005-81-1
Arsenic compounds,INCLUDE,Diiron arsenide,12005-88-8
Arsenic compounds,INCLUDE,Gadolinium arsenide,12005-89-9
Arsenic compounds,INCLUDE,Holmium arsenide,12005-92-4
Arsenic compounds,INCLUDE,Lutetium arsenide,12005-94-6
Arsenic compounds,INCLUDE,Manganese arsenide,12005-95-7
Arsenic compounds,INCLUDE,Terbium arsenide,12006-08-5
Arsenic compounds,INCLUDE,Thallium arsenide,12006-09-6
Arsenic compounds,INCLUDE,Thulium arsenide,12006-10-9
Arsenic compounds,INCLUDE,Ytterbium arsenide,12006-12-1
Arsenic compounds,INCLUDE,Iron diarsenide,12006-21-2
Arsenic compounds,INCLUDE,Trizinc diarsenide,12006-40-5
Arsenic compounds,INCLUDE,Iron arsenide,12044-16-5
Arsenic compounds,INCLUDE,Digallium arsenide phosphide,12044-20-1
Arsenic compounds,INCLUDE,Tripotassium arsenide,12044-21-2
Arsenic compounds,INCLUDE,Trilithium arsenide,12044-22-3
Arsenic compounds,INCLUDE,Trisodium arsenide,12044-25-6
Arsenic compounds,INCLUDE,Praseodymium arsenide,12044-28-9
Arsenic compounds,INCLUDE,Trimagnesium diarsenide,12044-49-4
Arsenic compounds,INCLUDE,Diarsenic tritelluride,12044-54-1
Arsenic compounds,INCLUDE,Zinc diarsenide,12044-55-2
Arsenic compounds,INCLUDE,Nickel diarsenide,12068-61-0
Arsenic compounds,INCLUDE,Gallium arsenide,1303-00-0
Arsenic compounds,INCLUDE,Indium arsenide,1303-11-3
Arsenic compounds,INCLUDE,Diarsenic pentaoxide,1303-28-2
Arsenic compounds,INCLUDE,Arsenic sulfide,1303-33-9
Arsenic compounds,INCLUDE,Diarsenic triselenide,1303-36-2
Arsenic compounds,INCLUDE,Diarsenic trioxide,1327-53-3
Arsenic compounds,INCLUDE,Triethyl arsenite,3141/12/6
Arsenic compounds,INCLUDE,Trilead diarsenate,3687-31-8
Arsenic compounds,INCLUDE,Aluminium arsenide,22831-42-1
Arsenic compounds,INCLUDE,Triammonium arsenate,24719-13-9
Arsenic compounds,INCLUDE,Tricobalt diarsenate,24719-19-5
Arsenic compounds,INCLUDE,Cobalt arsenide,27016-73-5
Arsenic compounds,INCLUDE,Nickel arsenide,27016-75-7
Arsenic compounds,INCLUDE,Tricalcium diarsenite,27152-57-4
Arsenic compounds,INCLUDE,Dichromium arsenide,12254-85-2
Arsenic compounds,INCLUDE,Erbium arsenide,12254-88-5
Arsenic compounds,INCLUDE,Lanthanum arsenide,12255-04-8
Arsenic compounds,INCLUDE,Niobium arsenide,12255-08-2
Arsenic compounds,INCLUDE,Neodymium arsenide,12255-09-3
Arsenic compounds,INCLUDE,Triantimony arsenide,12255-36-6
Arsenic compounds,INCLUDE,Samarium arsenide,12255-39-9
Arsenic compounds,INCLUDE,Yttrium arsenide,12255-48-0
Arsenic compounds,INCLUDE,Tribarium diarsenide,12255-50-4
Arsenic compounds,INCLUDE,Tricalcium diarsenide,12255-53-7
Arsenic compounds,INCLUDE,Germanium arsenide,12271-72-6
Arsenic compounds,INCLUDE,Trisilver arsenide,12417-99-1
Arsenic compounds,INCLUDE,Arsenic sulfide,12612-21-4
Arsenic compounds,INCLUDE,Ammonium dihydrogenarsenate,13462-93-6
Arsenic compounds,INCLUDE,Potassium arsenite,13464-35-2
Arsenic compounds,INCLUDE,Trisodium arsenite,13464-37-4
Arsenic compounds,INCLUDE,Trisodium arsenate,13464-38-5
Arsenic compounds,INCLUDE,Zinc arsenate,13464-44-3
Arsenic compounds,INCLUDE,Tristrontium diarsenate,13464-68-1
Arsenic compounds,INCLUDE,Potassium arsonate,10124-50-2
Arsenic compounds,INCLUDE,Copper arsonate,10290-12-7
Arsenic compounds,INCLUDE,Strychnine dimethylarsinate,10476-87-6
Arsenic compounds,INCLUDE,Tricadmium diarsenide,12006-15-4
Arsenic compounds,INCLUDE,Methyltriphenylarsonium iodide,1499-33-8
Arsenic compounds,INCLUDE,"2,7-(bis(2-arsonophenylazo))-1,8-dihydroxynaphthalene-3,6-disulphonic acid",1668-00-4
Arsenic compounds,INCLUDE,o-phenylenediarsonic acid,1758-48-1
Arsenic compounds,INCLUDE,Sodium p-[[4-[3-(2-arsono-4-nitrophenyl)triazen-1-yl]phenyl]azo]benzenesulphonate,1772-02-7
Arsenic compounds,INCLUDE,2-aminophenylarsonic acid,2045-00-3
Arsenic compounds,INCLUDE,3-amino-4-hydroxyphenylarsonic acid,2163-77-1
Arsenic compounds,INCLUDE,Sodium methylarsonate,2163-80-6
Arsenic compounds,INCLUDE,10-chloro-10H-phenoxarsine,2865-70-5
Arsenic compounds,INCLUDE,Tri-p-tolylarsine,2896/10/8
Arsenic compounds,INCLUDE,"Disodium 3-[(o-arsonophenyl)azo]-4,5-dihydroxynaphthalene-2,7-disulphonate",3547-38-4
Arsenic compounds,INCLUDE,"Disodium [4-[(4,6-diamino-1,3,5-triazin-2-yl)amino]phenyl]arsonate",3599-28-8
Arsenic compounds,INCLUDE,Difetarsone,3639-19-8
Arsenic compounds,INCLUDE,Diphenylarsinecarbonitrile,23525-22-6
Arsenic compounds,INCLUDE,Bis[(2-diphenylarsinoethyl)phenyl]phosphine,23582-05-0
Arsenic compounds,INCLUDE,[2-(diphenylarsino)ethyl]diphenylphosphine,23582-06-1
Arsenic compounds,INCLUDE,o-phenylenebis(dimethylarsine),13246-32-7
Arsenic compounds,INCLUDE,Melarsonyl potassium,13355-00-5
Arsenic compounds,INCLUDE,"Thiobis[methylarsine], anhydrosulphide",13367-92-5
Arsenic compounds,INCLUDE,"Disodium hydrogen 2-[[7-[(2-arsonophenyl)azo]-1,8-dihydroxy-3,6-disulphonato-2-naphthyl]azo]benzoate",14674-83-0
Arsenic compounds,INCLUDE,"2,2'-[ethylenebis(oxy)]bis[1,3,2-dioxarsolane]",14849-23-1
Arsenic compounds,INCLUDE,Chlorotris(triphenylarsine)rhodium,14973-92-3
Arsenic compounds,INCLUDE,Proustite (Ag3(AsS3)),15122-58-4
Arsenic compounds,INCLUDE,Tetraphenylarsonium (hydrogen dichloride),21006-73-5
Arsenic compounds,INCLUDE,Methylenebis(diphenylarsine),21892-63-7
Arsenic compounds,INCLUDE,3-formamido-4-hydroxyphenylarsonic acid,60154-16-7
Arsenic compounds,INCLUDE,Bromo(hydroxytetraphenylarsoranato)magnesium,63468-73-5
Arsenic compounds,INCLUDE,"Trisodium 3-[(o-arsonatophenyl)azo]-4,5-dihydroxynaphthalene-2,7-disulphonate",66019-20-3
Arsenic compounds,INCLUDE,"Tetraphenylarsonium chloride, compound with hydrochloric acid (1:1)",73003-83-5
Arsenic compounds,INCLUDE,Difetarsone disodium,515-76-4
Arsenic compounds,INCLUDE,"Trisodium 2-(-hydrogen arsonatophenylazo)-1,8-dihydroxynaphthalene-3,6-disulphonate",520-10-5
Arsenic compounds,INCLUDE,Acetarsol--diethylamine (1:1),534-33-8
Arsenic compounds,INCLUDE,Tryparsamide,554-72-3
Arsenic compounds,INCLUDE,"10-chloro-5,10-dihydrophenarsazine",578-94-9
Arsenic compounds,INCLUDE,Sodium hydrogen [4-(acetamido)phenyl]arsonate,585-54-6
Arsenic compounds,INCLUDE,Allylarsonic acid,590-34-1
Arsenic compounds,INCLUDE,Methyloxoarsine,593-58-8
Arsenic compounds,INCLUDE,Trimethylarsine,593-88-4
Arsenic compounds,INCLUDE,Dichloro(ethyl)arsine,598-14-1
Arsenic compounds,INCLUDE,Triphenylarsine,603-32-7
Arsenic compounds,INCLUDE,Triethylarsine,617-75-4
Arsenic compounds,INCLUDE,4-acetamidophenylarsonic acid,618-22-4
Arsenic compounds,INCLUDE,4-(4-dimethylaminophenylazo)phenylarsonic acid,622-68-4
Arsenic compounds,INCLUDE,Iododimethylarsine,676-75-5
Arsenic compounds,INCLUDE,Dichloro(phenyl)arsine,696-28-6
Arsenic compounds,INCLUDE,Chlorodiphenylarsine,712-48-1
Arsenic compounds,INCLUDE,Diphenylarsine,829-83-4
Arsenic compounds,INCLUDE,"Methyl 1,2,5,6-tetrahydro-1-methylnicotinate, mono[(3-acetamido-4-hydroxyphenyl)arsonate]",900-77-6
Arsenic compounds,INCLUDE,Methyldiphenylarsine,945-48-2
Arsenic compounds,INCLUDE,Triphenylarsine oxide,1153-05-5
Arsenic compounds,INCLUDE,Diphenoxarsin-10-yl oxide,58-36-6
Arsenic compounds,INCLUDE,Acetarsol,97-44-9
Arsenic compounds,INCLUDE,Phenylarsonic acid,618-22-4
Arsenic compounds,INCLUDE,4-hydroxyphenylarsonic acid,98-14-6
Arsenic compounds,INCLUDE,Arsanilic acid,98-50-0
Arsenic compounds,INCLUDE,Nitarsone,98-72-6
Arsenic compounds,INCLUDE,Propylarsonic acid,107-34-6
Arsenic compounds,INCLUDE,Glycobiarsol,116-49-4
Arsenic compounds,INCLUDE,Arsthinol,119-96-0
Arsenic compounds,INCLUDE,Carbarsone,121-59-5
Arsenic compounds,INCLUDE,Methylarsonic acid,124-58-3
Arsenic compounds,INCLUDE,Disodium arsonoacetate,126-82-9
